80555,84914,5616,495048
8197,139695,38474,729108
24584,431695,21341,2214332
24584,79345,5805,589592
24584,951591,21341,2214333
24584,535918,11005,547013
24584,155532,61767,1976043
24584,243045,11005,216259
24584,2236308,22991,2056712
24584,255545,11005,1123314
24584,2120247,22991,527654
24584,126864,11005,2024108
24584,1980256,22991,182684
24584,335705,22991,47163
24584,1411683,22991,815252
24584,60718,22991,278384
24584,1886363,22991,242036
24584,1068350,22991,288025
24584,1014604,22991,2226890
24584,245117,22991,243882
24584,113230,22991,182680
24584,47820,22991,2226891
24584,461077,22991,630212
24584,288006,34204,1196452
24584,32671,16342,1246556
24584,599945,34204,257060
24584,263245,16342,738986
24584,60430,16342,1961255
24584,32573,16342,2126621
24584,453699,16342,562815
24584,356705,55249,467861
24584,591900,16342,658229
24584,2236321,16342,1491085
24584,461300,10040,962566
24584,461300,16342,485474
24584,753239,59755,1553217
24584,254697,16342,243478
24584,329786,67949,703040
24584,243286,59755,2465018
24584,1952610,80127,1952719
24584,601273,16342,807847
24584,511590,22080,431700
24584,329786,28436,2191430
24584,535918,28436,1944791
24584,461254,22080,589893
24584,388315,22080,1095762
24584,2209719,59755,2465020
24584,224419,22080,232527
24584,472157,59755,2106130
24584,1890150,29226,880690
24584,2083205,13596,2144966
24584,198410,13596,1409890
24584,243868,75423,1311667
24584,241824,14508,492059
24584,243548,46235,1927049
24584,1927103,16565,871841
24584,480796,9473,533641
24584,198229,47135,1493636
24584,472865,75883,148297
24584,1901562,75883,363475
24584,1538324,47049,1486353
24584,434817,47135,2389027
24584,1927057,47135,11342
24584,2024196,47135,2126595
24584,395940,47135,200473
24584,136546,47049,236448
24584,10080,54963,996430
24584,461371,47135,1927060
24584,261266,47135,1920774
24584,52096,69784,2524578
24584,2068443,71254,1804997
24584,2236396,73212,859679
24584,244978,27427,481338
24584,47820,39338,11638
24584,20804,39338,2076977
24584,808081,34592,608851
24584,598845,27673,481119
24584,1232442,27673,2071850
24584,38050,73212,1082588
40974,1888049,27737,744113
57365,712420,78637,2088461
57365,1246110,76384,96274
57365,1011374,26187,2248816
57365,1998539,75265,1372976
57365,2032013,75265,127106
90135,100507,88387,1718242
90135,2030332,90136,532328
90137,2291537,91292,1142902
90137,2136603,94197,1647367
90137,2291540,2371,916523
90137,637050,94263,104697
90137,772960,22317,105107
90137,2291543,2371,1438780
16412,49234,79071,361255
49183,96870,79924,526708
49183,2404790,10956,778311
49183,1199962,46859,532308
49183,2404803,46370,2383019
49183,1889865,61451,2475119
49189,2404834,4110,2053962
32807,2300694,82557,2047373
41,2015556,62420,147122
24619,380377,58655,223817
49197,2404872,49151,2404607
49197,1285598,43957,1193826
49197,2404876,43957,2126819
49197,755309,43957,159718
90158,2223799,2842,1230316
90158,141245,66691,2380885
90158,2223803,31993,2295793
90158,2223805,86203,2149619
49,243463,80422,243546
49203,2404931,38148,1125106
49204,2404977,17455,2179834
49204,542582,88874,571557
65589,632936,57911,859737
49206,1618061,69687,1145260
49209,1277774,31377,1927318
66913,796165,67197,54167
49241,821744,46977,237601
49241,2405242,27422,159044
49241,2405243,17455,25426
49241,2405244,27409,1001102
49241,745560,43957,2368477
49241,1925427,24865,2180502
2746,802345,14889,205939
2746,2041867,31377,797589
1381,137888,18599,873009
1381,565276,20440,1901500
1381,2030197,59755,1106695
1381,1102867,74660,117341
8288,2092361,10181,1743288
106594,2109488,29486,415909
69505,1853767,57833,753280
21862,542435,13247,1124902
21862,742119,17170,2177474
21862,2218864,22317,232815
21862,772888,1115,1193237
24679,1973361,22517,85002
8303,1111542,78317,2022942
8303,309908,27427,32515
8303,560056,40335,39296
8303,539707,30613,128495
8303,2001399,24699,496674
8303,1642374,33775,487412
73844,553493,72925,196976
73844,468815,59755,1361099
73844,1972973,18599,2024797
73844,1720849,81826,93415
73844,2005607,67949,536600
24699,873075,57833,2452848
24699,565375,20440,155069
24699,2021509,60391,1927278
24699,1508849,22180,2071228
24699,1179044,57110,1927277
24699,24297,20440,170754
24699,2236963,20440,1333801
24699,2151144,74905,1927280
24699,2236964,74905,182573
24699,1186703,64972,46863
24699,101374,74905,275
24699,1921627,74905,2005068
24699,2236965,26524,2236979
24699,1240244,71834,1280223
24699,2236970,17316,1910368
24699,741329,26085,920182
24699,129859,9282,1232749
24699,2205430,25940,2148511
24699,72671,25940,2086593
24699,1885171,25940,1927290
24699,1966204,83509,1924532
24699,607702,83509,927344
24699,353362,25940,1391383
24699,1232489,21599,1927292
24699,2198349,9282,990879
24699,700920,69068,1940664
24699,1927271,87855,1927271
24699,2109835,87855,2151144
24699,1340335,32265,741803
24699,1914547,72474,1914185
24699,1884833,72474,1927277
24699,2236993,24846,1240244
24699,1903246,33775,990879
16510,200095,26840,1148750
16510,666761,48102,22798
57480,138051,69121,85580
73867,1232563,20738,142274
73868,2547532,1115,2027440
73868,755074,4451,2056446
90253,355236,5599,629780
90253,1724791,60016,2030670
90253,229633,59755,2001924
90253,1232720,60016,2024218
90253,968531,60016,2066884
73873,2547549,86191,634907
73873,1335718,59755,1099405
8338,2093161,37480,1250512
24728,1515100,45733,300265
60100,1263348,50125,2410515
60100,160119,1115,191016
60100,2467926,21739,1416066
82080,1439716,62685,348097
82080,1096409,79917,1880080
82080,2592692,79917,2579789
82080,233318,79917,87109
82080,2592693,79917,2068918
82080,101091,79917,2580062
82080,2269977,79917,2580063
82080,112435,79917,494807
82080,263189,79917,2580074
82080,90789,55855,1183838
82080,2085906,34810,607922
82080,1475792,34810,2313808
82080,56387,34810,82193
82080,2270377,34810,2313810
82080,254905,34810,27578
82080,133630,34810,101091
82080,44806,34810,959579
82080,93370,34810,930870
82080,1329545,34810,1066873
